Allowed: 172.16.63.134:64876 -> 51.116.253.168:443 | Protocol: TCP
Allowed: 172.16.63.134:64876 -> 51.116.253.168:443 | Protocol: TCP
Allowed: 172.16.63.134:64876 -> 51.116.253.168:443 | Protocol: TCP
Allowed: 172.16.63.134:64876 -> 51.116.253.168:443 | Protocol: TCP
Allowed: 172.16.63.134:64876 -> 51.116.253.168:443 | Protocol: TCP
Allowed: 172.16.63.134:64876 -> 51.116.253.168:443 | Protocol: TCP
Allowed: 172.16.63.134:64876 -> 51.116.253.168:443 | Protocol: TCP
Allowed: 172.16.63.134:64876 -> 51.116.253.168:443 | Protocol: TCP
Allowed: 172.16.63.134:63165 -> 100.29.175.103:443 | Protocol: TCP
Allowed: 172.16.63.134:64847 -> 35.201.74.77:443 | Protocol: TCP
Allowed: 172.16.63.134:63166 -> 100.29.175.103:443 | Protocol: TCP
Allowed: 172.16.63.134:64827 -> 104.97.76.219:443 | Protocol: TCP
Allowed: 172.16.63.134:63166 -> 100.29.175.103:443 | Protocol: TCP
Allowed: 172.16.63.134:52844 -> 8.8.8.8:443 | Protocol: UDP
Allowed: 172.16.63.134:52844 -> 8.8.8.8:443 | Protocol: UDP
Allowed: 172.16.63.134:52844 -> 8.8.8.8:443 | Protocol: UDP
Allowed: 172.16.63.134:52844 -> 8.8.8.8:443 | Protocol: UDP
Allowed: 172.16.63.134:53089 -> 142.250.192.195:443 | Protocol: UDP
Allowed: 172.16.63.134:53089 -> 142.250.192.195:443 | Protocol: UDP
Allowed: 172.16.63.134:53089 -> 142.250.192.195:443 | Protocol: UDP
Allowed: 172.16.63.134:53089 -> 142.250.192.195:443 | Protocol: UDP
Allowed: 172.16.63.134:53089 -> 142.250.192.195:443 | Protocol: UDP
Allowed: 172.16.63.134:52844 -> 8.8.8.8:443 | Protocol: UDP
Allowed: 172.16.63.134:53089 -> 142.250.192.195:443 | Protocol: UDP
Allowed: 172.16.63.134:53089 -> 142.250.192.195:443 | Protocol: UDP
Allowed: 172.16.63.134:53089 -> 142.250.192.195:443 | Protocol: UDP
Allowed: 172.16.63.134:53089 -> 142.250.192.195:443 | Protocol: UDP
Allowed: 172.16.63.134:53089 -> 142.250.192.195:443 | Protocol: UDP
Allowed: 172.16.63.134:64930 -> 103.47.13.147:80 | Protocol: TCP
Allowed: 172.16.63.134:64930 -> 103.47.13.147:80 | Protocol: TCP
Allowed: 172.16.63.134:64930 -> 103.47.13.147:80 | Protocol: TCP
Allowed: 172.16.63.134:64930 -> 103.47.13.147:80 | Protocol: TCP
Allowed: 172.16.63.134:64930 -> 103.47.13.147:80 | Protocol: TCP
Allowed: 172.16.63.134:61520 -> 34.120.52.64:443 | Protocol: TCP
Allowed: 172.16.63.134:63165 -> 100.29.175.103:443 | Protocol: TCP
Allowed: 172.16.63.25:5353 -> 224.0.0.251:5353 | Protocol: UDP | Location: N/A
Allowed: 172.16.63.25:5353 -> 224.0.0.251:5353 | Protocol: UDP | Location: N/A
Allowed: 172.16.63.25:5353 -> 224.0.0.251:5353 | Protocol: UDP | Location: N/A
Allowed: 10.10.90.100:43529 -> 255.255.255.255:29810 | Protocol: UDP | Location: N/A
Allowed: 172.16.63.25:5353 -> 224.0.0.251:5353 | Protocol: UDP | Location: N/A
Allowed: 10.10.90.151:39250 -> 255.255.255.255:29810 | Protocol: UDP | Location: N/A
Allowed: 172.16.51.147:34581 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 172.16.63.134:65139 -> 20.189.173.9:443 | Protocol: TCP | Location: N/A
Allowed: 172.16.63.134:65139 -> 20.189.173.9:443 | Protocol: TCP | Location: N/A
Allowed: 172.16.63.134:65139 -> 20.189.173.9:443 | Protocol: TCP | Location: N/A
Allowed: 172.16.63.134:65139 -> 20.189.173.9:443 | Protocol: TCP | Location: N/A
Allowed: 20.189.173.9:443 -> 172.16.63.134:65139 | Protocol: TCP | Location: N/A
Allowed: 20.189.173.9:443 -> 172.16.63.134:65139 | Protocol: TCP | Location: N/A
Allowed: 20.189.173.9:443 -> 172.16.63.134:65139 | Protocol: TCP | Location: N/A
Allowed: 172.16.63.134:65139 -> 20.189.173.9:443 | Protocol: TCP | Location: N/A
Allowed: 20.189.173.9:443 -> 172.16.63.134:65139 | Protocol: TCP | Location: N/A
Allowed: 10.10.91.155:35764 -> 255.255.255.255:29810 | Protocol: UDP | Location: N/A
Allowed: 172.16.63.134:63554 -> 8.8.8.8:53 | Protocol: UDP | Location: N/A
Allowed: 8.8.8.8:53 -> 172.16.63.134:63554 | Protocol: UDP | Location: N/A
Allowed: 172.16.63.134:65229 -> 13.69.239.77:443 | Protocol: TCP | Location: N/A
Allowed: 13.69.239.77:443 -> 172.16.63.134:65229 | Protocol: TCP | Location: N/A
Allowed: 172.16.63.134:65229 -> 13.69.239.77:443 | Protocol: TCP | Location: N/A
Allowed: 172.16.63.134:65229 -> 13.69.239.77:443 | Protocol: TCP | Location: N/A
Allowed: 13.69.239.77:443 -> 172.16.63.134:65229 | Protocol: TCP | Location: N/A
Allowed: 13.69.239.77:443 -> 172.16.63.134:65229 | Protocol: TCP | Location: N/A
Allowed: 172.16.63.134:65229 -> 13.69.239.77:443 | Protocol: TCP | Location: N/A
Allowed: 13.69.239.77:443 -> 172.16.63.134:65229 | Protocol: TCP | Location: N/A
Allowed: 172.16.63.134:65207 -> 35.186.229.172:443 | Protocol: TCP | Location: N/A
Allowed: 13.69.239.77:443 -> 172.16.63.134:65229 | Protocol: TCP | Location: N/A
Allowed: 13.69.239.77:443 -> 172.16.63.134:65229 | Protocol: TCP | Location: N/A
Allowed: 13.69.239.77:443 -> 172.16.63.134:65229 | Protocol: TCP | Location: N/A
