Blocked Port: 172.16.59.198:38547 -> 255.255.255.255:10001 | Protocol: UDP
Blocked Port: 10.10.90.114:45534 -> 255.255.255.255:29810 | Protocol: UDP
Blocked Port: 172.16.61.200:46266 -> 255.255.255.255:10001 | Protocol: UDP
Blocked Port: 172.16.63.31:137 -> 172.16.63.255:137 | Protocol: UDP
Blocked Port: 172.16.63.31:52660 -> 224.0.0.252:5355 | Protocol: UDP
Blocked Port: 172.16.63.31:56296 -> 224.0.0.252:5355 | Protocol: UDP
Blocked Port: 51.116.253.168:443 -> 172.16.63.134:64876 | Protocol: TCP
Blocked Port: 51.116.253.168:443 -> 172.16.63.134:64876 | Protocol: TCP
Blocked Port: 51.116.253.168:443 -> 172.16.63.134:64876 | Protocol: TCP
Blocked Port: 51.116.253.168:443 -> 172.16.63.134:64876 | Protocol: TCP
Blocked Port: 51.116.253.168:443 -> 172.16.63.134:64876 | Protocol: TCP
Blocked Port: 51.116.253.168:443 -> 172.16.63.134:64876 | Protocol: TCP
Blocked Port: 51.116.253.168:443 -> 172.16.63.134:64876 | Protocol: TCP
Blocked Port: 172.16.62.36:5353 -> 224.0.0.251:5353 | Protocol: UDP
Blocked Port: 172.16.62.79:5353 -> 224.0.0.251:5353 | Protocol: UDP
Blocked Port: 172.16.61.202:37580 -> 255.255.255.255:10001 | Protocol: UDP
Blocked Port: 51.116.253.168:443 -> 172.16.63.134:64876 | Protocol: TCP
Blocked Port: 51.116.253.168:443 -> 172.16.63.134:64876 | Protocol: TCP
Blocked Port: 51.116.253.168:443 -> 172.16.63.134:64876 | Protocol: TCP
Blocked Port: 51.116.253.168:443 -> 172.16.63.134:64876 | Protocol: TCP
Blocked Port: 51.116.253.168:443 -> 172.16.63.134:64876 | Protocol: TCP
Blocked Port: 172.16.61.204:51323 -> 255.255.255.255:10001 | Protocol: UDP
Blocked Port: 10.10.91.154:35724 -> 255.255.255.255:29810 | Protocol: UDP
Blocked Port: 172.16.62.79:5353 -> 224.0.0.251:5353 | Protocol: UDP
Blocked Port: 10.10.91.156:47176 -> 255.255.255.255:29810 | Protocol: UDP
Blocked Port: 10.10.90.100:41861 -> 255.255.255.255:29810 | Protocol: UDP
Blocked Port: 10.10.90.152:60434 -> 255.255.255.255:29810 | Protocol: UDP
Blocked Port: 172.16.61.197:50233 -> 255.255.255.255:10001 | Protocol: UDP
Blocked Port: 172.16.62.181:34208 -> 255.255.255.255:10001 | Protocol: UDP
Blocked Port: 172.16.51.40:39803 -> 255.255.255.255:10001 | Protocol: UDP
Blocked Port: 172.16.61.199:59927 -> 255.255.255.255:10001 | Protocol: UDP
Blocked Port: 172.16.62.5:56574 -> 255.255.255.255:10001 | Protocol: UDP
Blocked Port: 10.10.91.157:42088 -> 255.255.255.255:29810 | Protocol: UDP
Blocked Port: 100.29.175.103:443 -> 172.16.63.134:63165 | Protocol: TCP
Blocked Port: 172.16.62.79:5353 -> 224.0.0.251:5353 | Protocol: UDP
Blocked Port: 172.16.63.134:61625 -> 172.253.118.188:5228 | Protocol: TCP
Blocked Port: 172.253.118.188:5228 -> 172.16.63.134:61625 | Protocol: TCP
Blocked Port: 10.10.90.113:52193 -> 255.255.255.255:29810 | Protocol: UDP
Blocked Port: 172.16.51.82:52651 -> 255.255.255.255:10001 | Protocol: UDP
Blocked Port: 35.201.74.77:443 -> 172.16.63.134:64847 | Protocol: TCP
Blocked Port: 172.16.49.160:42599 -> 255.255.255.255:10001 | Protocol: UDP
Blocked Port: 10.10.91.153:55052 -> 255.255.255.255:29810 | Protocol: UDP
