[ALLOWED] 2025-03-19 14:34:15 - 172.16.63.208 --> 224.0.0.251 | Protocol: UDP
[ALLOWED] 2025-03-19 14:34:16 - 10.10.90.107 --> 255.255.255.255 | Protocol: UDP
[ALLOWED] 2025-03-19 14:34:16 - 172.16.49.205 --> 224.0.0.251 | Protocol: UDP
[ALLOWED] 2025-03-19 14:34:17 - 10.10.90.113 --> 255.255.255.255 | Protocol: UDP
[ALLOWED] 2025-03-19 14:34:18 - 172.16.48.135 --> 8.8.8.8 | Protocol: UDP
[ALLOWED] 2025-03-19 14:34:19 - 8.8.8.8 --> 172.16.48.135 | Protocol: UDP
[ALLOWED] 2025-03-19 14:34:19 - 172.16.48.135 --> 34.117.59.81 | Protocol: TCP
[ALLOWED] 2025-03-19 14:34:20 - 34.117.59.81 --> 172.16.48.135 | Protocol: TCP
[ALLOWED] 2025-03-19 14:34:21 - 172.16.48.135 --> 34.117.59.81 | Protocol: TCP
[ALLOWED] 2025-03-19 14:34:22 - 172.16.48.135 --> 34.117.59.81 | Protocol: TCP
[ALLOWED] 2025-03-19 14:34:23 - 34.117.59.81 --> 172.16.48.135 | Protocol: TCP
[ALLOWED] 2025-03-19 14:34:23 - 34.117.59.81 --> 172.16.48.135 | Protocol: TCP
[ALLOWED] 2025-03-19 14:34:24 - 34.117.59.81 --> 172.16.48.135 | Protocol: TCP
[ALLOWED] 2025-03-19 14:34:25 - 34.117.59.81 --> 172.16.48.135 | Protocol: TCP
[ALLOWED] 2025-03-19 14:34:26 - 172.16.48.135 --> 34.117.59.81 | Protocol: TCP
[ALLOWED] 2025-03-19 14:34:26 - 172.16.48.135 --> 34.117.59.81 | Protocol: TCP
[ALLOWED] 2025-03-19 14:34:27 - 172.16.48.135 --> 34.117.59.81 | Protocol: TCP
[ALLOWED] 2025-03-19 14:34:28 - 34.117.59.81 --> 172.16.48.135 | Protocol: TCP
[ALLOWED] 2025-03-19 14:34:29 - 10.10.90.200 --> 255.255.255.255 | Protocol: UDP
[ALLOWED] 2025-03-19 14:34:29 - 10.10.91.1 --> 255.255.255.255 | Protocol: UDP
