2025-03-18 13:38:06.913785 - 10.10.90.101 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:06.918831 - 172.16.62.188 -> 224.0.0.251 | Protocol: UDP | Port: 5353
2025-03-18 13:38:07.010766 - 10.10.90.132 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:07.237106 - 172.16.63.134 -> 142.250.192.238 | Protocol: UDP | Port: 443
2025-03-18 13:38:07.237106 - 142.250.192.238 -> 172.16.63.134 | Protocol: UDP | Port: 52739
2025-03-18 13:38:07.555819 - 172.16.63.134 -> 74.125.130.188 | Protocol: TCP | Port: 5228
2025-03-18 13:38:07.626060 - 0.0.0.0 -> 255.255.255.255 | Protocol: UDP | Port: 67
2025-03-18 13:38:07.626611 - 74.125.130.188 -> 172.16.63.134 | Protocol: TCP | Port: 52275
2025-03-18 13:38:07.822980 - 10.10.90.123 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:07.932484 - 10.10.90.109 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:07.962453 - 172.16.63.134 -> 142.250.77.234 | Protocol: UDP | Port: 443
2025-03-18 13:38:07.979329 - 142.250.77.234 -> 172.16.63.134 | Protocol: UDP | Port: 64757
2025-03-18 13:38:08.029006 - 10.10.90.107 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:08.029006 - 10.10.90.122 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:08.139245 - 10.10.90.110 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:08.441322 - 192.168.160.58 -> 239.255.255.250 | Protocol: UDP | Port: 37020
2025-03-18 13:38:08.460880 - 192.168.160.59 -> 239.255.255.250 | Protocol: UDP | Port: 37020
2025-03-18 13:38:08.464052 - 192.168.160.57 -> 239.255.255.250 | Protocol: UDP | Port: 37020
2025-03-18 13:38:08.550838 - 172.16.14.133 -> 239.255.255.250 | Protocol: UDP | Port: 37020
2025-03-18 13:38:08.848567 - 172.16.63.134 -> 142.250.192.238 | Protocol: UDP | Port: 443
2025-03-18 13:38:08.862106 - 192.168.161.97 -> 239.255.255.250 | Protocol: UDP | Port: 37020
2025-03-18 13:38:08.865639 - 172.16.14.132 -> 239.255.255.250 | Protocol: UDP | Port: 37020
2025-03-18 13:38:08.867659 - 192.168.161.87 -> 239.255.255.250 | Protocol: UDP | Port: 37020
2025-03-18 13:38:08.870723 - 142.250.192.238 -> 172.16.63.134 | Protocol: UDP | Port: 52739
2025-03-18 13:38:09.263648 - 172.16.62.117 -> 224.0.0.251 | Protocol: UDP | Port: 5353
2025-03-18 13:38:09.263648 - 10.10.90.111 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:09.263648 - 172.16.62.117 -> 224.0.0.251 | Protocol: UDP | Port: 5353
2025-03-18 13:38:09.489403 - 172.16.63.134 -> 142.250.194.174 | Protocol: UDP | Port: 443
2025-03-18 13:38:09.489403 - 142.250.194.174 -> 172.16.63.134 | Protocol: UDP | Port: 60172
2025-03-18 13:38:09.572972 - 0.0.0.0 -> 255.255.255.255 | Protocol: UDP | Port: 67
2025-03-18 13:38:09.575021 - 0.0.0.0 -> 255.255.255.255 | Protocol: UDP | Port: 67
2025-03-18 13:38:09.678346 - 10.10.90.98 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:09.728208 - 142.250.194.174 -> 172.16.63.134 | Protocol: UDP | Port: 60172
2025-03-18 13:38:09.746429 - 172.16.63.134 -> 142.250.194.174 | Protocol: UDP | Port: 443
2025-03-18 13:38:09.777923 - 10.10.91.153 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:09.882234 - 10.10.90.135 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:09.884188 - 172.16.62.188 -> 224.0.0.251 | Protocol: UDP | Port: 5353
2025-03-18 13:38:09.886226 - 10.10.90.121 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:09.912474 - 172.16.63.134 -> 142.250.193.42 | Protocol: UDP | Port: 443
2025-03-18 13:38:09.935088 - 142.250.193.42 -> 172.16.63.134 | Protocol: UDP | Port: 54777
2025-03-18 13:38:09.941182 - 172.16.63.134 -> 142.250.194.174 | Protocol: UDP | Port: 443
2025-03-18 13:38:09.962982 - 142.250.194.174 -> 172.16.63.134 | Protocol: UDP | Port: 60172
2025-03-18 13:38:10.075952 - 10.10.90.114 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:10.159657 - 172.16.63.134 -> 142.250.194.174 | Protocol: UDP | Port: 443
2025-03-18 13:38:10.159657 - 142.250.194.174 -> 172.16.63.134 | Protocol: UDP | Port: 60172
